Período,Disciplinas,Créditos,Carga Horária,Pré-requisito 1,Pré-requisito 2,Pré-requisito 3
P1,Cálculo Vetorial e Geometria Analítica,4,60,,,
P1,Cálculo Diferencial e Integral I,4,60,,,
P1,Introdução à Programação,4,60,,,
P1,Introdução ao Computador,4,60,,,
P1,Metodologia do Trabalho Científico,3,45,,,
P2,Introdução à Álgebra Linear,4,60,Cálculo Vetorial e Geometria Analítica,,
P2,Cálculo Diferencial e Integral II,4,60,Cálculo Diferencial e Integral I,,
P2,Matemática Discreta,4,60,,,
P2,Programação Estruturada,4,60,Introdução à Programação,Introdução ao Computador,
P2,Introdução à Ciência de Dados,4,60,Introdução à Programação,,
P3,Cálculo Diferencial e Integral III,4,60,Cálculo Diferencial e Integral II,Cálculo Vetorial e Geometria Analítica,
P3,Álgebra Linear Computacional,4,60,Introdução à Álgebra Linear,Programação Estruturada,
P3,Estrutura de Dados,4,60,Programação Estruturada,,
P3,Programação Orientada a Objetos,4,60,Programação Estruturada,,
P3,Teoria das Probabilidades,4,60,Cálculo Diferencial e Integral II,,
P4,Métodos Numéricos I,4,60,Cálculo Diferencial e Integral III,,
P4,Pesquisa Operacional,4,60,Introdução à Álgebra Linear,Programação Estruturada,
P4,Banco de Dados I,4,60,Estrutura de Dados,,
P4,Introdução à Inteligência Artificial,4,60,,,
P4,Inferência Estatística,4,60,Teoria das Probabilidades,,
P4,Pesquisa Aplicada à Ciência de Dados,3,45,,,
P5,Equações Diferenciais Ordinárias,4,60,Cálculo Diferencial e Integral III,,
P5,Otimização Não-Linear,4,60,Introdução à Álgebra Linear,Cálculo Diferencial e Integral III,
P5,Análise e Projeto de Algoritmos,4,60,Estrutura de Dados,,
P5,Teoria dos Grafos Aplicada,4,60,Estrutura de Dados,,
P5,Aprendizagem de Máquina,4,60,Inferência Estatística,Introdução à Inteligência Artificial,
P5,Optativa I,4,60,,,
P6,Métodos Matemáticos I,4,60,Cálculo Diferencial e Integral II,Introdução à Álgebra Linear,
P6,Engenharia de Software,4,60,Programação Orientada a Objetos,,
P6,Aprendizado Profundo,4,60,Introdução à Inteligência Artificial,Otimização Não-Linear,
P6,Análise Multivariada e Aprendizado Não Supervisionado,4,60,Inferência Estatística,,
P6,Computadores e Sociedade,4,60,,,
P6,Optativa II,4,60,,,
P6,Optativa III,4,60,,,
P7,Empreendedorismo,4,60,,,
P7,Visualização de Dados,4,60,Programação Orientada a Objetos,,
P7,Inteligência Computacional,4,60,Estrutura de Dados,,
P7,Mineração Estatística de Dados,4,60,Aprendizagem de Máquina,Análise Multivariada e Aprendizado Não Supervisionado,
P7,Optativa IV,4,60,,,
P7,Optativa V,4,60,,,
P8,Trabalho de Conclusão de Curso,4,60,,,
P8,Big Data,4,60,Banco de Dados I,Mineração Estatística de Dados,
P8,Estágio Supervisionado,20,300,,,
P8,Optativa VI,4,60,,,
Optativa,Processos Estocásticos,4,60,Teoria das Probabilidades,,
Optativa,Otimização de Grande Porte,4,60,Pesquisa Operacional,,
Optativa,Redes de Computadores I,4,60,,,
Optativa,Teoria do Controle Ótimo,4,60,Equações Diferenciais Ordinárias,,
Optativa,Programação Concorrente,4,60,Programação Orientada a Objetos,,
Optativa,Programação Linear Inteira,4,60,Pesquisa Operacional,,
Optativa,Libras,4,60,,,
Optativa,Séries Temporais,4,60,Inferência Estatística,,
Optativa,Ciência de Dados em Finanças,4,60,Séries Temporais,,
Optativa,Sistemas Inteligentes Aplicados ao Setor Energético,4,60,Aprendizagem de Máquina,,
Optativa,Visão Computacional,4,60,Introdução à Álgebra Linear,Estrutura de Dados,
Optativa,Processamento de Linguagem Natural,4,60,Introdução à Inteligência Artificial,,
Optativa,Teoria da Computação,4,60,,,
Optativa,Arquitetura de Computadores I,4,60,Introdução ao Computador,,
Optativa,Gerência de Projetos,4,60,Engenharia de Software,,
Optativa,Introdução ao Processamento Digital de Imagens,4,60,Estrutura de Dados,,
Optativa,Sistemas Operacionais I,4,60,Arquitetura de Computadores I,Programação Estruturada,
Optativa,Internet das Coisas,4,60,Estrutura de Dados,,
Optativa,Recuperação da Informação,4,60,Estrutura de Dados,,
Optativa,Sistemas de Recomendação,4,60,Estrutura de Dados,,
Optativa,Métodos de Projeto de Software,4,60,Programação Orientada a Objetos,,
Optativa,Física Aplicada à Computação I,4,60,Cálculo Diferencial e Integral I,,
Optativa,Métodos Numéricos II,4,60,Métodos Numéricos I,,
Optativa,Desenvolvimento Web,4,60,Banco de Dados I,Programação Orientada a Objetos,
Optativa,Introdução à Criptografia,4,60,Matemática Discreta,,
Optativa,Métodos Matemáticos II,4,60,Cálculo Diferencial e Integral III,Métodos Matemáticos I,
Optativa,Métodos Numéricos III,4,60,Métodos Numéricos II,,
